Serial Number,Manufacturers Name,Business Name,Date Of Accident,Time Of Accident,Clock,Vehicle Year,Model,City,County,Driving Status,Pedestrian Involved,Bicyclist Involved,Other,Number Of Vehicles Involved,Damage: None,Damage: Minor,Damage: Moderate,Damage: Major,Model_2,Moving_2,Accident Detail Description,Weather Clear,Weather Cloudy,Weather Raining,Weather Snowing,Weather Fog,Weather Other,Weather Wind,Lighting Daylight,Lighting Dark-Dawn,Lighting Dark-Street lights,Lighting Dark-No street lights,Lighting  Dark-Street lights not functioning,Roadway Dry,Roadway Wet,Latitude,Longitude,Narrow Roadway,Parked Vehicles,Intersection,Struck by Others,Other Party
117,Waymo LLC,Waymo LLC,12/03/2021,12:23,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Audi A3,Yes,"On December 3, 2021 at 12:23 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger vehicle at 16th Street at Market and Noe Street.  As the Waymo AV approached the intersection of 16th Street and Market Street, it stopped behind traffic at a red light. After the Waymo AV was fully stopped, a passenger vehicle reversed out of a parking spot perpendicular to the Waymo AV and made contact with the passenger side rear corner of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present in the driver’s seating position. Both vehicles sustained minor damage to their rear bumpers. ",Yes,,,,,,,Yes,,,,,Yes,,37.7587,-122.433,0,1,1,1,1
118,Waymo LLC,Waymo LLC,12/07/2021,10:47,AM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Lexus 4H,Yes,"On December 7, 2021 at 10:47 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving an SUV at Oak Street at Stanyan Street.   While in autonomous mode, the Waymo AV came to a stop at a stop sign on Oak Street. While the ADV was stopped, waiting for a pedestrian to cross and for traffic on Stanyan Street to clear, an SUV approached the Waymo AV from behind and made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage to the rear bumper.",Yes,,,,,,,Yes,,,,,Yes,,37.7708796,-122.453781,0,0,1,1,2
119,Cruise LLC,Cruise,12/11/2021,04:47,PM,2020,Bolt,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Toyota Truck,Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was at a complete stop in response to a red light on northbound Larkin Street at the intersection with Turk Street.  The Cruise AV entered the intersection on a green light and continued straight when a cyclist traveling eastbound on Turk Street entered the crosswalk. The Cruise AV braked to the cyclist and, shortly thereafter, another vehicle traveling behind the Cruise AV  made contact with the Cruise AV's rear bumper, damaging the rear left bumper. The driver of the other vehicle left the scene without exchanging information. There were no injuries and police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.7822886,-122.4172138,-1,0,1,1,4
120,Waymo LLC,Waymo LLC,12/19/2021,10:30,AM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,BMW SUV,Yes,"On December 19, 2021 at 10:30 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger vehicle at Fulton Street and 5th Avenue.  At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV was stopped facing southwest on Fulton Street while yielding to pedestrians in a crosswalk when a passenger vehicle reversed at a low speed from an adjacent driveway into the right rear bumper of the Waymo AV. Both vehicles sustained minor damage.",Yes,,,,,,,Yes,,,,,Yes,,37.7750879,-122.4521383,0,0,1,1,1
121,Cruise LLC,Cruise,12/26/2021,06:41,PM,2020,AV,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Toyota Sienna,Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was traveling eastbound on Fulton Street in the leftmost lane between 14th Avenue and Park Presidio Boulevard. A Toyota Sienna traveling southbound on 14th Avenue made an unprotected left turn to merge onto eastbound Fulton Street. The Cruise AV braked prior to the Cruise AV operator disengaging the Cruise AV from autonomous mode. The Cruise AV operator continued to brake but, shortly thereafter, the Toyota Sienna made contact with the Cruise AV, damaging the front left fender of the Cruise AV. Police were not called to the scene and no injuries were reported.",,,Yes,,,,,,,Yes,,,,Yes,37.773232,-122.47241,0,0,1,1,1
122,Waymo LLC,Waymo LLC,01/03/2022,09:00,AM,2021,I-Pace,San Francisco,San Francisco,Moving,,,,2,,Yes,,,FHRT,Yes,"On January 3, 2021 at 9:00 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a heavy truck at the northbound merge lane on the 100 block of Bayshore Boulevard.   At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). While attempting a merge onto northbound Bayshore Boulevard from southbound Bayshore Boulevard, the Waymo AV came to a stop to yield for approaching traffic on the right. The Waymo AV was rear ended by the truck, causing minor damage to the right rear bumper of the Waymo AV. The truck sustained damage to the left front bumper. ",Yes,,,,,,,Yes,,,,,Yes,,37.7309,-122.3886,0,0,0,1,2
123,Zoox Inc. ,Zoox Inc. ,01/11/2022,08:55,AM,2016,Highlsnder,San Francisco,CA,Stopped In Traffic,,,,2,,,Yes,,Toyota,Yes,A stopped Zoox vehicle in autonomous mode was struck by a passenger vehicle that approached it at low speed from behind. The Zoox vehicle incurred damage to its sensors and rear bumper. There were no injuries and the police were not called.,Yes,,,,,,,Yes,,,,,Yes,,37.7725,-122.4147,0,0,0,1,1
124,Waymo LLC,Waymo LLC,1/20/2022,02:24,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Nissan Rogue,Yes,"On January 20, 2022 at 2:24 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Polk Street at Sacramento Street.  The Waymo AV was stopped at a red light facing north on Polk Street in autonomous mode at the Sacramento Street intersection. The light turned green and the Waymo AV proceeded partially into the intersection, yielding to pedestrians in the left crosswalk while preparing to make a left turn. A passenger vehicle parked behind the Waymo AV on the right shoulder of Sacramento street pulled out of the shoulder and made contact with the right side of the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present. The Waymo AV sustained minor damage. ",Yes,,,,,,,Yes,,,,,Yes,,37.7917,-122.4186,0,1,1,1,1
125,Cruise LLC,Cruise,1/26/2022,03:56,AM,2020,AV,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Range Rover HSE ,Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was traveling southbound on 10th Street between Howard Street and Mission Street. The Cruise AV was traveling 24.9 mph upon coming to the intersection with Howard Street on a green light. As the Cruise AV entered the intersection, a 2021 Range Rover was traveling the wrong way on a one-way section of Howard Street. The 2021 Range Rover was traveling eastbound on Howard Street and entered the intersection on a red light. The Cruise AV braked prior to the Cruise AV operator disengaging the Cruise AV from autonomous mode. The Cruise AV operator continued to brake while steering away from the approaching vehicle but, shortly thereafter, the 2021 Range Rover made contact with the Cruise AV, damaging the front right of the Cruise AV and the front left bumper of the 2021 Range Rover. The Cruise AV was traveling 11.2 mph at the time of contact. Police were called to the scene and no injuries were reported.",Yes,,,,,,,,,Yes,,,Yes,,37.774073,-122.414551,0,0,1,1,1
126,Waymo LLC,Waymo LLC,1/28/2022,08:40,PM,2021,I-Pace,San Francisco,San Francisco,Moving,,,,2,,,Yes,,Honda Pilot,Yes,"On January 28, 2022 at 8:40 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a SUV on Noriega Street at 25th Avenue.  While proceeding straight on eastbound Noriega Street in autonomous mode, the Waymo AV slowed down and came to a halt at the stop sign at the intersection with 25th Avenue. As the Waymo began to proceed, a SUV approached the Waymo AV from behind and made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained moderate damage.",Yes,,,,,,,,,Yes,,,Yes,,37.7593,-122.4836,-1,0,1,1,2
127,Waymo LLC,Waymo LLC,1/28/2022,06:30,AM,2021,I-Pace,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Toyota Prius,Yes,"On January 28, 2022 at 6:30 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Franklin Street at Golden Gate Avenue.  The Waymo AV was stopped at a red light on northbound Franklin Street at Golden Gate Avenue. After the traffic light turned green and the Waymo AV had begun to accelerate, the passenger vehicle behind the Waymo AV struck the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage, and the trailing passenger vehicle sustained minor damage.",Yes,,,,,,,,Yes,,,,Yes,,37.7813,-122.4167,-1,0,1,1,1
128,Cruise LLC,Cruise,1/29/2022,01:10,PM,2020,AV,San Francisco,San Francisco,Moving,,,,1,Yes,,,,,,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was traveling southbound on Potrero Avenue between 15th Street and 16th Street. The Cruise AV approached the intersection with 16th Street as a Toyota Tundra traveling southbound on Potrero Avenue was making a right turn onto westbound 16th street. The Toyota Tundra was yielding for pedestrians and blocking the bike lane on southbound Potrero Avenue with Cyclist 1 and Cyclist 2 approaching. The Cruise AV braked for the two cyclists as Cyclist 3 traveling behind the Cruise AV veered left to avoid another vehicle pulling out of a curbside parking spot. Cyclist 3 then made contact with the right rear bumper of the Cruise AV, falling off their bike. Cyclist 3 reported minor injuries related to the incident and police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.7691339,-122.407975,-1,1,1,1,4
129,Waymo LLC,Waymo LLC,02/01/2022,08:44,AM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Toyota RAV4,Yes,"On February 2, 2022 at 8:44 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a SUV on Clipper Street and Noe Street.  The Waymo AV was stopped at a stop sign facing west on Clipper Street in autonomous mode while yielding to pedestrians in the crosswalk. After the pedestrians had crossed, the Waymo started to edge forward when an SUV to the Waymo AV’s rear passed the Waymo AV by driving in the oncoming traffic lane and made contact with the left rear sensor housing of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage. ",Yes,,,,,,,Yes,,,,,Yes,,37.7492112,-122.4271921,-1,0,1,1,2
130,Zoox Inc.,Zoox Inc.,02/05/2022,08:55,PM,2016,Highlander,San Francisco,San Fancisco,Stopped In Traffic,,,Vehicle,2,Yes,,,,Nissan,Yes,A Zoox vehicle in autonomous mode was stopped at a traffic light on Brannan Street at 7th Street when a passenger vehicle hit the Zoox vehicle from behind. The passenger vehicle left the scene without exchanging information. There were no injuries and the police were not called. ,Yes,,,,,,,Yes,,,,,Yes,,37.7725,-122.4147,0,0,1,1,1
131,Waymo LLC,Waymo LLC,02/09/2022,03:05,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Toyota Tacoma,Yes,"On February 9, 2022 at 3:05 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a pick-up truck on Coral Road at Wisconsin Street.   The Waymo AV was traveling westbound on Coral Road in autonomous mode and came to a stop while yielding to an oncoming pick-up truck in a narrow roadway. The oncoming truck continued proceeding straight and made contact with the rear left sensor of the Waymo AV.  At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained minor damage. ",Yes,,,,,,,Yes,,,,,Yes,,37.7621,-122.3971,1,0,0,1,2
132,Waymo LLC,Waymo LLC,02/11/2022,05:36,PM,2021,I-Pace,San Francisco,San Francisco,Moving,,,,2,,Yes,,,BMW 4 Series,Yes,"On February 11, 2022 at 5:36 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Market Street and Valencia Street.  The Waymo AV was approaching stopped traffic in the left turn lane on Market Street at Valencia Street when a passenger vehicle approached from behind and made contact with the rear bumper of the Waymo AV. The other vehicle left the scene without exchanging information. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage. ",,Yes,,,,,,Yes,,,,,Yes,,37.7725,-122.4147,0,0,1,1,1
133,Cruise LLC,Cruise,02/11/2022,12:42,AM,2020,AV,San Francisco,San Francisco,Moving,,,,2,,Yes,,,BMW,Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was at a complete stop in response to a red light on southbound Masonic Avenue at the intersection with Oak Street. At the intersection, an Acura Sedan was stopped in front of the Cruise AV in the left southbound lane. To the right of the Cruise AV, was a BMW Sedan in the right southbound lane. In response to the green light, the Acura Sedan made a signaled left turn onto Oak Street as the BMW Sedan stayed parallel to the Cruise AV. As the Cruise AV entered the intersection, the BMW Sedan made a prohibited left turn from the right southbound lane on Masonic Avenue with no turn signal. The Cruise AV braked and, shortly thereafter, the BMW Sedan made contact with the Cruise AV, damaging the front right bumper of the Cruise AV. The driver of the BMW Sedan left the scene without exchanging information. There were no injuries and Cruise filed a police report on February 12, 2022.",Yes,,,,,,,,,Yes,,,Yes,,37.7719797,-122.4455268,0,0,1,1,1
134,Waymo LLC,Waymo LLC,2/14/2022,03:02,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Ford Fusion,Yes,"On February 14, 2022 at 3:02 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Kansas Street at 16th Street.  The Waymo AV was stopped at a red light facing north on Kansas Street at the 16th Street intersection in autonomous mode. While the traffic light was still red, the vehicle immediately behind the Waymo AV began to accelerate and made contact with the rear bumper of the Waymo AV.  At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage. ",Yes,,,,,,,Yes,,,,,Yes,,37.7725,-122.4147,0,0,1,1,1
135,Waymo LLC,Waymo LLC,2/19/2022,07:45,PM,2021,I-Pace,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Hyundai,Yes,"On February 19, 2022 at 7:45 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle at the northbound merge lane on the 100 block of Bayshore Boulevard.   While attempting a merge onto northbound Bayshore Boulevard from southbound Bayshore Boulevard, the Waymo AV came to a stop to yield for approaching traffic on the right. While stopped, a vehicle approached from behind and made contact with the rear bumper of the Waymo AV. The other vehicle left the scene without exchanging information.  At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage. ",Yes,,,,,,,,,Yes,,,Yes,,37.7309,-122.3886,-1,0,0,1,1
